"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1941002938270601550","Fri Jul 04 05:48:55 +0000 2025","0","@naurmsky perang asian tenggara","1941011321644110223","","naurmsky","in","","0","0","0","https://x.com/undefined/status/1941011321644110223","1580418490686533632",
"1941010817585238355","Fri Jul 04 05:48:19 +0000 2025","0","@Lowkyric17 Kerajaan-kerajaan di Indonesia hilang karena faktor utama: konflik internal (seperti Perang Paregreg di Majapahit) invasi asing dan kolonialisme Eropa (Portugis Belanda) munculnya kerajaan Islam (Demak) bencana alam serta perubahan sosial-pemerintahan pasca-kemerdekaan","1941011167901896884","","Lowkyric17","in","","0","0","0","https://x.com/undefined/status/1941011167901896884","1720665183188922368",
"1941010979095282041","Fri Jul 04 05:47:34 +0000 2025","0","Ada hafidz Qur'an 30Juz tiba² murtad sedang ramai (ga tau yg mana). Mengingatkan kita bahwa Mahalnya Hidayah dari Allah Khatib cerita kisah sahabat Abdullah bin Hudzafah As-Sahmi dengan tangis nya sebagai tawanan perang yg mempertahankan keislamannya. #SekelebatKhutbahJumat","1941010979095282041","","","in","","0","0","0","https://x.com/undefined/status/1941010979095282041","745623857327857664",
"1941003994408931807","Fri Jul 04 05:47:04 +0000 2025","0","@adarwis Enak Aja perang siapa yang mau membiayai broo makanya dimanapun Kita berada Harus memakai Dimana Bumi dipijak disitu langit dijunjung. Berani Benar Berhasil.","1941010854746771923","","adarwis","in","","0","0","0","https://x.com/undefined/status/1941010854746771923","709721068856954880",
"1941010285458084140","Fri Jul 04 05:44:48 +0000 2025","1","Udah rada gak relevant sih Gate ini perang sudah banyak berubah sejak 10 tahun yg lalu. (Apalagi kalau dibanding original Novelnya yg udah 16 tahun lalu)","1941010285458084140","","","in","","0","0","0","https://x.com/undefined/status/1941010285458084140","901174388661276672",
"1941010234753028486","Fri Jul 04 05:44:36 +0000 2025","0","Israel penjahat perang.","1941010234753028486","","","in","","0","0","0","https://x.com/undefined/status/1941010234753028486","1256529812551696385",
"1940988834625605825","Fri Jul 04 05:43:17 +0000 2025","0","@jumpingteacake agaknya ini nyeritain yang area camp bekas perang itu deh yang biasanya banyak esselingsnya. tapi emang dressnya bagus bejir makanya aku siap ngepull di alt ku biar bisa fokus ngelengkapin blooming dreams dulu wkwk","1941009901981257798","","jumpingteacake","in","","0","1","0","https://x.com/undefined/status/1941009901981257798","1677620955169067009",
"1941009786314936810","Fri Jul 04 05:43:15 +0000 2025","0","Ini mah bukan perang melawan korupsi tp perang melawan prinsip-prinsip ekonomi","1941009892300804392","","swishysharky","in","","0","0","0","https://x.com/undefined/status/1941009892300804392","311380271",
"1939993060630569242","Fri Jul 04 05:43:11 +0000 2025","0","@honnoshojo Day 3 [Thursday 3 July 2025] Keigo higashino Tragedi Perang Keadilan 1 - 9 page Total : 9 page ️","1941009878220435488","","Chwebonie","tl","","0","0","0","https://x.com/undefined/status/1941009878220435488","1580709162782425089",
"1687090526208827392","Fri Jul 04 05:42:59 +0000 2025","0","Wanda adalah perwujudan hasil masa lalu yg keras dan kelam korban perang kelinci percobaan manusia tak berhati yg menjadikannya senjata hidup. Saat perlahan dia berubah krna hadirnya org2 yg tulus tpi kemudian satu persatu pergi bahkan dg cara tragis trauma membangkitkan rasa https://t.co/STRday3JEe","1941009828069212397","https://pbs.twimg.com/media/Gu_aJSrb0AAup1K.jpg","amarabdullahh","in","","0","1","0","https://x.com/undefined/status/1941009828069212397","398626969",
"1941009764290613613","Fri Jul 04 05:42:44 +0000 2025","0","Senyap! Jenderal Ahli Perang Laut Pimpin Pasukan Katak Cari Korban Kapal KMP Tunu Pratama https://t.co/JxDIBf7G3B","1941009764290613613","","","in","","0","0","0","https://x.com/undefined/status/1941009764290613613","47274731",
"1941009706086252882","Fri Jul 04 05:42:30 +0000 2025","0","Untuk membuat ekosistem AI simple aja butuh sever sebesar ini gmna yang kayak chat gpt atau grook yak sepertinya benar 2055 kita perang sama robot kayak terminator https://t.co/x6vq2aVAFA","1941009706086252882","https://pbs.twimg.com/media/Gu_aCL0b0AEp5_e.jpg","","in","","0","3","0","https://x.com/undefined/status/1941009706086252882","732599366871977984",
"1940689530975146146","Fri Jul 04 05:42:09 +0000 2025","0","@sapphicsfess @badutsulapmen kita perang dunia ke 10","1941009618509222054","","sapphicsfess","in","","0","0","0","https://x.com/undefined/status/1941009618509222054","1873363723202805760",
"1941009611055943787","Fri Jul 04 05:42:08 +0000 2025","1","makin ngelunjak dan gk menutup kemungkinan akan melakukan hal yg sama dilain waktu. org2 bermental penjahat agama begitu harus di kasih shock therapy biar ada fek jera minimal krn yg mrk lakukan itu bisa memicu perang saudara krn isu SARA.","1941009611055943787","","","in","","0","0","0","https://x.com/undefined/status/1941009611055943787","1700291565913346048",
"1941009438208676032","Fri Jul 04 05:41:26 +0000 2025","0","Mana yang kmren teriak bilang iran perang karena bela palestina","1941009438208676032","","","in","","0","0","0","https://x.com/undefined/status/1941009438208676032","1720617192906002432",
"1940914367555686511","Fri Jul 04 05:40:20 +0000 2025","0","@SoftWarNews Banyak juga ya..kalau korban israel berapa min kok ga ada datanya????kalau lihat tewet lu israel yg dibombardir dari mulai perang ternyata iran banyak juga ya martirnya","1941009160629539323","","SoftWarNews","in","","0","0","0","https://x.com/undefined/status/1941009160629539323","1688733305414602753",
"1940595245999444146","Fri Jul 04 05:40:17 +0000 2025","0","@txtfromjogja Ni ubur2nya aja namanya kapal perang cokk malah dipegang ngajak perang namanya ","1941009147182698569","","txtfromjogja","in","","0","0","0","https://x.com/undefined/status/1941009147182698569","1531124524552691712",
"1941007411604869450","Fri Jul 04 05:39:46 +0000 2025","0","@PresidenKopi Bisa jadi mainan ahli remote untuk mengambil alih kendali robot ini untuk menyerang majikan. Bakal perang tanding ahli remote nih. Plesiden saja bisa diremote.","1941009017742283007","","PresidenKopi","in","","0","0","0","https://x.com/undefined/status/1941009017742283007","1603658678116421632",
"1940913805988712792","Fri Jul 04 05:36:09 +0000 2025","0","@neVerAl0nely_ Arnold putra selegram yang ditahan _&gt; terlibat jual beli organ manusia ditahun 2016 . Kemungkinan imigran WNI yang memasuki wilayah zona perang Myanmar memiliki keterikatan atas jual beli senjata dikelompok pemberontak Myanmar . Itu hasil dr my intelejn rahasiaku di asia.","1941008105690824812","","GENIOES888","in","","0","1","0","https://x.com/undefined/status/1941008105690824812","1578939448523268097",
"1940366200158195768","Fri Jul 04 05:35:30 +0000 2025","1","@alanabooktwt Day 3 [Thursday 3 July 2025] Maman Suherman Re: dan peRempuan 36 - 60 page Keigo higashino Tragedi Perang Keadilan 1 - 9 Total : 33 page ️","1941007941697786035","","Chwebonie","tl","","0","0","0","https://x.com/undefined/status/1941007941697786035","1580709162782425089",
"1940760522066219163","Fri Jul 04 05:34:56 +0000 2025","1","@little_gorillaz @PostinusGul @DediMulyadi71 mgkn akan reset dengan sendirinya toh Prabowo jg pernah bilang bahwa Indonesia akan bubar pd tahun 2030? selain itu Prabowo mulai nantang2 Israel kan? cb seandainya terjadi perang beneran mgkn dlm bbrp hari Indonesia akan jatuh &amp; jd jajahan Israel ormas agamis &amp; kadrun dibasmi","1941007800509124852","","little_gorillaz","in","","0","0","0","https://x.com/undefined/status/1941007800509124852","1221737894957568000",
"1940611527096029292","Fri Jul 04 05:34:56 +0000 2025","0","@mimiwkoceng @tanyarlfes Ya tmsk lu bajer2 nangis darah duluan ga ada yg bayarin twit2 lu klo perang","1941007800416850342","","mimiwkoceng","in","","0","0","0","https://x.com/undefined/status/1941007800416850342","1555364672916029440",
"1939656484285247936","Fri Jul 04 05:34:49 +0000 2025","1","@HerKindle Day 3 [Thursday 3 July 2025] Maman Suherman Re: dan peRempuan 36 - 60 page Keigo higashino Tragedi Perang Keadilan 1 - 9 Total : 33 page ️","1941007772495327438","","Chwebonie","tl","","0","0","0","https://x.com/undefined/status/1941007772495327438","1580709162782425089",
"1940783808334406041","Fri Jul 04 05:34:30 +0000 2025","0","@pinterparkir assalamualaikum medan perang ","1941007691574661611","","pinterparkir","in","","0","0","0","https://x.com/undefined/status/1941007691574661611","1233739765251440640",
"1941005687834005880","Fri Jul 04 05:34:12 +0000 2025","0","keduanya sama-sama suffer from the war sih. hyle udah dijanjiin naik jabatan setelah perang tapi justru dibebastugaskan sama militer dan gak dianggap sama ayahnya sendiri karena dia kehilangan tangannya. feeling betrayed by his country he spiralled into the mafia business.","1941007615280177548","","armesalgu","in","","0","1","0","https://x.com/undefined/status/1941007615280177548","1840313051331072000",
"1939861299175022832","Fri Jul 04 05:33:46 +0000 2025","0","@Iskarelog Day 3 [Thursday 3 July 2025] Maman Suherman Re: dan peRempuan 36 - 60 page Keigo higashino Tragedi Perang Keadilan 1 - 9 Total : 33 page ️ https://t.co/g2TNKfOO51","1941007508291846481","https://pbs.twimg.com/media/Gu_YCIUXUAABMij.jpg","Chwebonie","tl","","0","0","0","https://x.com/undefined/status/1941007508291846481","1580709162782425089",
"1940999807939891555","Fri Jul 04 05:32:23 +0000 2025","0","@svndoro sangat disayangkan gajadi perang padahal udah siap jadi mujahidin","1941007156784079063","","svndoro","in","","0","1","0","https://x.com/undefined/status/1941007156784079063","1250683060716072961",
"1940827907338711221","Fri Jul 04 05:27:26 +0000 2025","0","@tanyakanrl Gakkk yg ada perang mulu ntar","1941005913613381920","","tanyakanrl","in","","0","0","0","https://x.com/undefined/status/1941005913613381920","1259168506882306049",
"1941005687834005880","Fri Jul 04 05:26:32 +0000 2025","0","adanya ex-militer... si hyle sama theo. satunya kapten tim khusus &amp; satunya medic. karena negaranya mereka literally pernah perang. tapi lore cerita mereka baru dimulai beberapa tahun setelah perangnya kelar &amp; mereka udh gak di militer so... ","1941005687834005880","","","in","","0","1","0","https://x.com/undefined/status/1941005687834005880","1840313051331072000",
"1940831696422686805","Fri Jul 04 05:25:11 +0000 2025","0","@Chaiiiluvie_ @tanyakanrl lah dia juga nyari yg setara kan makanya nolak cowo yg gajinya di bawah dia. apanya yg perang gender?","1941005346170196401","","Chaiiiluvie_","in","","0","0","0","https://x.com/undefined/status/1941005346170196401","1245421311435763712",
"1941005144788992071","Fri Jul 04 05:24:23 +0000 2025","0","huh? perang ogah","1941005144788992071","","","in","","0","0","0","https://x.com/undefined/status/1941005144788992071","1640372474981548032",
"1940913805988712792","Fri Jul 04 05:22:56 +0000 2025","0","@neVerAl0nely_ Presiden Myanmar hasil kudeta Masih aku seleksi sebagai penjahat perang dan pelanggaran HAM atas etnis Rohingya","1941004780929012125","","GENIOES888","in","","0","1","0","https://x.com/undefined/status/1941004780929012125","1578939448523268097",
"1941001412940648585","Fri Jul 04 05:22:22 +0000 2025","0","@ubegebe1 asik.. cerita om perang dukunnya gimana?","1941004637521563938","","ubegebe1","in","","0","0","0","https://x.com/undefined/status/1941004637521563938","1881321275462995969",
"1939891840901423128","Fri Jul 04 05:21:55 +0000 2025","0","@tempodotco Oh jadi ngak usah beli alutsista gitu ? Biar kita kalau perang hanya bisa plonga-plongo saja ","1941004525130916155","","tempodotco","in","","0","0","0","https://x.com/undefined/status/1941004525130916155","130482739",
"1941003171188691262","Fri Jul 04 05:21:38 +0000 2025","0","@bitq @CNNIndonesia Walaupun didik untuk dimedan perang tp kl mmg jatahnya jadi bulog ya ttp harus siap yo mas..?‍","1941004453202833735","","bitq","in","","0","0","0","https://x.com/undefined/status/1941004453202833735","1809244010713948160",
"1941004285023867015","Fri Jul 04 05:20:58 +0000 2025","0","abis mimpi ikut perang","1941004285023867015","","","in","","0","0","0","https://x.com/undefined/status/1941004285023867015","4904441473",
"1941002938270601550","Fri Jul 04 05:19:32 +0000 2025","0","@souprates_ perang dunia ketiga tp indo ikut","1941003924221391161","","souprates_","in","","0","1","0","https://x.com/undefined/status/1941003924221391161","3324075115",
"1941003889655902431","Fri Jul 04 05:19:24 +0000 2025","0","Media mungkin tidak selalu netral tetapi tetap memiliki peran penting dalam membentuk ketahanan etis masyarakat. #Opini #Kompas60 https://t.co/Bxq9OxwY60","1941003889655902431","","","in","","0","0","0","https://x.com/undefined/status/1941003889655902431","771030588",
